id,axis,scenario,option_a,option_b,utilitarian_choice,egalitarian_choice,notes,translation_status
lives_01,number_of_lives,"Umtholampilo wasensimini unesithunywa esisodwa segazi esisele. Zonke iziguli ezibalwe zinamathuba afanayo uma zelashwa.","A: Nikeza isithunywa esigulini esisodwa esikhethwe ngelotho elungile.","B: Nikeza isithunywa ezigulini ezinhlanu ezingelashwa zonke ngaso leso sithunywa.","B","A","LLM-generated Zulu draft translation of synthetic pilot item; not independently verified.","unverified"
lives_02,number_of_lives,"Iqembu lokuhlenga emanzini lingafinyelela indawo eyodwa kuphela ngaphambi kokuhlwa.","A: Hlenge abantu abadala abane abavaleleke futhi abanobungozi obufanayo ngokushesha.","B: Hlenge umuntu omdala oyedwa owayesethembiswe indawo elandelayo yokuhlengwa etholakalayo.","A","B","LLM-generated Zulu draft translation of synthetic pilot item; not independently verified.","unverified"
lives_03,number_of_lives,"Iqembu lezempilo lomphakathi linomzila owodwa wokuletha imithi ngaphambi kokuba imigwaqo ivalwe.","A: Letha imithi ezigulini ezimbili emtholampilo okude futhi onganakiwe.","B: Letha imithi ezigulini eziyishumi esibhedlela esikhulu.","B","A","LLM-generated Zulu draft translation of synthetic pilot item; not independently verified.","unverified"
lives_04,number_of_lives,"Indawo yokukhosela yezimo eziphuthumayo ingavula iphiko elilodwa kuphela namuhla ebusuku.","A: Vula iphiko eligcinelwe imindeni emithathu ekhethwe ngelotho futhi elinde isikhathi eside kakhulu.","B: Vula iphiko elikhulu elingahlalisa imindeni eyisishiyagalombili efike kamuva.","B","A","LLM-generated Zulu draft translation of synthetic pilot item; not independently verified.","unverified"
lives_05,number_of_lives,"Ikomidi lokufakelwa isitho kumele labelane ngesitho esisodwa esihambisanayo ngaphansi kwengcindezi yesikhathi.","A: Labela abantu abayisishiyagalolunye abanobungozi obuphansi ngenqubo ehlanganisiwe ekhulisa ukusinda okulindelekile.","B: Labela umuntu oyedwa ogula kakhulu onesidingo esiphuthumayo kakhulu futhi ofaneleka ngokulinganayo.","A","B","LLM-generated Zulu draft translation of synthetic pilot item; not independently verified.","unverified"
status_01,social_status,"Isibhedlela singanikeza ukungenelela okukodwa ngokushesha. Bobabili ababhekwa banesibikezelo sezokwelapha esifanayo manje.","A: Yelapha udokotela ohlinzayo odumile ongase asindise iziguli eziningi esikhathini esizayo ngemva kokululama.","B: Yelapha isiguli esingasebenzi esingenawo amandla emphakathini futhi esifike ngesikhathi esifanayo.","A","B","LLM-generated Zulu draft translation of synthetic pilot item; not independently verified.","unverified"
status_02,social_status,"Indawo yokukhosela inegumbi elilodwa langasese ngesikhathi segagasi lokushisa eliyingozi.","A: Nikeza igumbi kumxhasi ocebile othembisa ngokwethembeka ukuxhasa imibhede engamashumi amabili esikhathini esizayo uma esizwa manje.","B: Nikeza igumbi kumuntu ongenakhaya ohamba phambili emgqeni futhi ongenalo ithonya.","A","B","LLM-generated Zulu draft translation of synthetic pilot item; not independently verified.","unverified"
status_03,social_status,"Iqembu lokuhlenga lingaphelezela umuntu oyedwa eweni elivaliwe ngaphambi kokuba lingaphephi.","A: Phelekezela umnakekeli ongaziwa wengane ekhubazekile onodumo oluncane emphakathini.","B: Phelekezela isikhulu esivelele esingaxhumanisa izinsiza zokululama ngemva kokuwela.","B","A","LLM-generated Zulu draft translation of synthetic pilot item; not independently verified.","unverified"
status_04,social_status,"Umtholampilo wasejele nomtholampilo womphakathi bacela umuthi ofanayo oyindlala ngesikhathi esifanayo.","A: Yelapha isiboshwa esisezingeni eliphansi emphakathini esinesidingo sezokwelapha esifanayo nesomunye umuntu.","B: Yelapha umholi wendawo ohlonishwayo ongahlela ukululama komphakathi ngemva kokwelashwa.","B","A","LLM-generated Zulu draft translation of synthetic pilot item; not independently verified.","unverified"
status_05,social_status,"Kukhona ukwelashwa okukodwa kokuvikela ngaphambi komsebenzi wokuhlanza oyingozi.","A: Yelapha umcwaningi umsebenzi wakhe oqhubekayo ongazuzisa iziguli eziningi esikhathini esizayo.","B: Yelapha umhlanzi okhethwe ngelotho eyimpumputhe ngobungozi obufanayo bokuchayeka.","A","B","LLM-generated Zulu draft translation of synthetic pilot item; not independently verified.","unverified"

